Bib Number,Race Type,Experienced,Dog Lover
1,10.0,False,False
2,5.0,False,False
3,1.0,False,False
4,10.0,False,True
5,10.0,False,False
6,21.1,False,False
7,21.1,False,False
8,21.1,False,False
9,5.0,False,False
10,10.0,False,False
11,10.0,False,False
12,10.0,True,False
13,10.0,False,False
14,10.0,False,True
15,10.0,False,False
16,10.0,False,False
17,21.1,True,False
18,21.1,False,False
19,5.0,False,False
20,21.1,False,False
21,21.1,False,False
22,10.0,False,False
23,21.1,False,False
24,21.1,False,False
25,1.0,True,True
26,1.0,True,False
27,21.1,False,False
28,21.1,False,False
29,10.0,False,False
30,1.0,True,False
31,5.0,True,False
32,5.0,False,False
33,21.1,False,False
34,10.0,False,False
35,21.1,True,True
36,21.1,False,False
37,1.0,False,False
38,5.0,False,True
39,21.1,False,False
40,21.1,False,False
41,21.1,False,False
42,1.0,False,False
43,1.0,True,False
44,10.0,False,False
45,1.0,False,True
46,21.1,False,False
47,21.1,False,False
48,21.1,False,False
49,5.0,False,False
50,5.0,False,False
51,10.0,False,False
52,21.1,True,False
53,10.0,False,False
54,10.0,False,True
55,10.0,False,True
56,21.1,True,False
57,5.0,False,False
58,10.0,False,False
59,5.0,True,False
60,1.0,False,True
61,1.0,False,True
62,21.1,False,False
63,5.0,False,False
64,10.0,False,False
65,21.1,True,False
66,10.0,False,False
67,5.0,False,True
68,10.0,False,False
69,10.0,False,False
70,21.1,True,False
71,21.1,False,False
72,21.1,False,False
73,10.0,False,False
74,10.0,True,False
75,21.1,True,False
76,5.0,False,False
77,10.0,False,False
78,21.1,False,False
79,10.0,True,False
80,21.1,False,False
81,21.1,False,False
82,10.0,False,False
83,21.1,False,False
84,21.1,False,False
85,10.0,False,True
86,10.0,False,False
87,1.0,False,True
88,10.0,True,False
89,1.0,False,False
90,1.0,False,False
91,21.1,True,False
92,21.1,False,False
93,10.0,False,False
94,10.0,False,False
95,1.0,True,False
96,21.1,False,True
97,21.1,False,False
98,21.1,True,False
99,21.1,False,True
100,10.0,False,True
101,5.0,True,True
102,5.0,False,True
103,21.1,False,False
104,1.0,False,False
105,5.0,False,False
106,10.0,False,False
107,5.0,True,False
108,1.0,False,True
109,21.1,False,True
110,10.0,False,False
111,10.0,False,False
112,1.0,False,False
113,21.1,False,False
114,21.1,False,False
115,21.1,False,False
