Majors,Terms in Attendance
Letters & Sci Undeclared UG,3
Data Science BA,7
Economics BA,8
Letters & Sci Undeclared UG,5
Economics BA,7
"Computer Science BA, Economics BA",7
"Business Administration BS, Letters & Sci Undeclared UG",5
Letters & Sci Undeclared UG,5
Microbial Biology BS,5
Letters & Sci Undeclared UG,8
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,5
"Data Science BA, Society and Environment BS",5
Letters & Sci Undeclared UG,3
"Letters & Sci Undeclared UG, Microbial Biology BS",5
"Letters & Sci Undeclared UG, Nutritional Science BS",5
Letters & Sci Undeclared UG,3
Chemistry BS,5
Applied Mathematics BA,7
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,7
Computer Science BA,5
"Computer Science BA, Data Science BA",5
Development Engineering MDE,G
Letters & Sci Undeclared UG,5
Data Science BA,5
Chemical Engineering BS,7
Letters & Sci Undeclared UG,5
"Business Administration BS, Data Science BA",5
Data Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,7
Computer Science BA,5
Letters & Sci Undeclared UG,5
Computer Science BA,8
Chemical Engineering BS,7
Data Science BA,5
"Business Administration BS, Electrical Eng & Comp Sci BS",7
Letters & Sci Undeclared UG,5
Economics BA,5
Music BA,5
Data Science BA,6
Public Health BA,5
Data Science BA,6
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,5
Mol Sci & Software Engin MMSSE,G
"Data Science BA, Environmental Sciences BS",5
Applied Mathematics BA,7
"Letters & Sci Undeclared UG, Sustainable Environ Dsgn BA",5
Computer Science BA,5
Development Engineering MDE,G
"Data Science BA, Environ Econ & Policy BS",8
Computer Science BA,5
Chemistry BS,8
Computational Biology PhD,G
Computer Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,3
Data Science BA,5
Data Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,3
Mechanical Engineering BS,7
Letters & Sci Undeclared UG,3
"Environ Econ & Policy BS, Letters & Sci Undeclared UG",5
"Data Science BA, Molecular & Cell Biology BA",5
Data Science BA,5
Letters & Sci Undeclared UG,7
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,7
Civil Engineering BS,7
Computer Science BA,6
Letters & Sci Undeclared UG,3
Economics BA,7
"Chemical Engineering BS, Letters & Sci Undeclared UG",5
"Data Science BA, Economics BA",5
Electrical Eng & Comp Sci BS,7
Chemistry PhD,G
Economics BA,7
Computer Science BA,5
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,4
Letters & Sci Undeclared UG,5
"Letters & Sci Undeclared UG, Mechanical Engineering BS",4
"Data Science BA, Economics BA",7
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
Economics BA,5
Letters & Sci Undeclared UG,7
Data Science BA,7
Letters & Sci Undeclared UG,5
"Computer Science BA, Data Science BA",7
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,3
Bioengineering BS,7
"Computer Science BA, Data Science BA",5
Letters & Sci Undeclared UG,5
"Env Sci, Policy, & Mgmt PhD",G
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
"Cognitive Science BA, Economics BA",7
Electrical Eng & Comp Sci BS,8
"Data Science BA, Environ Econ & Policy BS",5
Applied Mathematics BA,8
Letters & Sci Undeclared UG,6
Letters & Sci Undeclared UG,5
Computer Science BA,3
Computer Science BA,5
Data Science BA,5
Data Science BA,3
"Data Science BA, Public Health BA",5
Letters & Sci Undeclared UG,7
Mol Sci & Software Engin MMSSE,G
"Economics BA, History BA",7
Economics BA,5
Letters & Sci Undeclared UG,3
Data Science BA,5
"Business Administration BS, Computer Science BA",5
Computer Science BA,7
Letters & Sci Undeclared UG,3
Letters & Sci Undeclared UG,5
Letters & Sci Undeclared UG,5
